14,40481417
2,345805170
2,95710000
15,581578308
9,982933288
1,162629445
15,670889433
3,422881203
1,944216882
5,828239002
11,464560402
8,154569543
2,282431401
16,268527711
10,786084836
4,835995017
16,624253587
12,913569724
2,107890467
2,237434395
4,908986043
3,199358755
3,276318069
2,931020483
11,240802581
5,240479187
15,671520999
2,510621115
7,75719142
17,395607995
14,984810274
3,514141225
3,236715221
6,629522794
11,460745225
5,55725153
8,514426645
2,503497012
5,274274865
7,799369557
4,498559873
8,868677563
2,867847165
6,468751735
10,856958381
4,769802810
7,857881318
12,561886493
6,699901207
10,394992974
4,240715510
3,570554248
12,85215023
6,166159393
7,926966123
4,422015127
4,573964751
12,360565431
6,225828158
17,682075586
5,251873807
8,61155004
4,382126734
16,6681346
10,2148236
3,913377348
4,64993957
11,880171693
5,856962181
3,685453104
5,297989299
7,751434458
17,645580204
15,557093691
9,506774108
3,546484440
9,398087962
11,537819782
3,519301668
17,635915500
13,512504409
5,248228007
6,916576473
15,235664174
2,876761432
3,248286341
3,538542640
7,44983419
4,959636012
5,782726062
13,28085561
6,902973010
17,769812221
14,756076720
8,801646279
2,811831656
4,490372618
5,680495501
4,465361528
17,726358783
